Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Grp
1,Mexico (H),3,3,0,0,6,0,+6,9,Advance to knockout stage,
2,South Africa,3,1,1,1,2,3,−1,4,Advance to knockout stage,
3,South Korea,3,1,0,2,2,3,−1,3,,
4,Czech Republic,3,0,1,2,2,6,−4,1,,
1,Switzerland,3,2,1,0,7,3,+4,7,Advance to knockout stage,
2,Canada (H),3,1,1,1,8,3,+5,4[a],Advance to knockout stage,
3,Bosnia and Herzegovina,3,1,1,1,5,6,−1,4[a],Advance to knockout stage,
4,Qatar,3,0,1,2,2,10,−8,1,,
1,Brazil,3,2,1,0,7,1,+6,7[a],Advance to knockout stage,
2,Morocco,3,2,1,0,6,3,+3,7[a],Advance to knockout stage,
3,Scotland,3,1,0,2,1,4,−3,3,,
4,Haiti,3,0,0,3,2,8,−6,0,,
1,United States (H),3,2,0,1,8,4,+4,6,Advance to knockout stage,
2,Australia,3,1,1,1,2,2,0,4[a],Advance to knockout stage,
3,Paraguay,3,1,1,1,2,4,−2,4[a],Advance to knockout stage,
4,Turkey,3,1,0,2,3,5,−2,3,,
1,Germany,3,2,0,1,10,4,+6,6[a],Advance to knockout stage,
2,Ivory Coast,3,2,0,1,4,2,+2,6[a],Advance to knockout stage,
3,Ecuador,3,1,1,1,2,2,0,4,Advance to knockout stage,
4,Curaçao,3,0,1,2,1,9,−8,1,,
1,Netherlands,3,2,1,0,10,4,+6,7,Advance to knockout stage,
2,Japan,3,1,2,0,7,3,+4,5,Advance to knockout stage,
3,Sweden,3,1,1,1,7,7,0,4,Advance to knockout stage,
4,Tunisia,3,0,0,3,2,12,−10,0,,
1,Belgium,3,1,2,0,6,2,+4,5[a],Advance to knockout stage,
2,Egypt,3,1,2,0,5,3,+2,5[a],Advance to knockout stage,
3,Iran,3,0,3,0,3,3,0,3,,
4,New Zealand,3,0,1,2,4,10,−6,1,,
1,Spain,3,2,1,0,5,0,+5,7,Advance to knockout stage,
2,Cape Verde,3,0,3,0,2,2,0,3,Advance to knockout stage,
3,Uruguay,3,0,2,1,3,4,−1,2[a],,
4,Saudi Arabia,3,0,2,1,1,5,−4,2[a],,
1,France,3,3,0,0,10,2,+8,9,Advance to knockout stage,
2,Norway,3,2,0,1,8,7,+1,6,Advance to knockout stage,
3,Senegal,3,1,0,2,8,6,+2,3,Advance to knockout stage,
4,Iraq,3,0,0,3,1,12,−11,0,,
1,Argentina,3,3,0,0,8,1,+7,9,Advance to knockout stage,
2,Austria,3,1,1,1,6,6,0,4[a],Advance to knockout stage,
3,Algeria,3,1,1,1,5,7,−2,4[a],Advance to knockout stage,
4,Jordan,3,0,0,3,3,8,−5,0,,
1,Colombia,3,2,1,0,4,1,+3,7,Advance to knockout stage,
2,Portugal,3,1,2,0,6,1,+5,5,Advance to knockout stage,
3,DR Congo,3,1,1,1,4,3,+1,4,Advance to knockout stage,
4,Uzbekistan,3,0,0,3,2,11,−9,0,,
1,England,3,2,1,0,6,2,+4,7,Advance to knockout stage,
2,Croatia,3,2,0,1,5,5,0,6,Advance to knockout stage,
3,Ghana,3,1,1,1,2,2,0,4,Advance to knockout stage,
4,Panama,3,0,0,3,0,4,−4,0,,
1,DR Congo,3,1,1,1,4,3,+1,4,Advance to knockout stage,K
2,Sweden,3,1,1,1,7,7,0,4,Advance to knockout stage,F
3,Ghana,3,1,1,1,2,2,0,4[a],Advance to knockout stage,L
4,Ecuador,3,1,1,1,2,2,0,4[a],Advance to knockout stage,E
5,Bosnia and Herzegovina,3,1,1,1,5,6,−1,4,Advance to knockout stage,B
6,Algeria,3,1,1,1,5,7,−2,4,Advance to knockout stage,J
7,Paraguay,3,1,1,1,2,4,−2,4,Advance to knockout stage,D
8,Senegal,3,1,0,2,8,6,+2,3,Advance to knockout stage,I
9,Iran,3,0,3,0,3,3,0,3,,G
10,South Korea,3,1,0,2,2,3,−1,3,,A
11,Scotland,3,1,0,2,1,4,−3,3,,C
12,Uruguay,3,0,2,1,3,4,−1,2,,H
