date,round,group,team1,team2,score1,score2,stadium
2026-06-11,Matchday 1,Group A,Mexico,South Africa,2.0,0.0,Mexico City
2026-06-11,Matchday 1,Group A,South Korea,Czech Republic,2.0,1.0,Guadalajara (Zapopan)
2026-06-18,Matchday 8,Group A,Czech Republic,South Africa,1.0,1.0,Atlanta
2026-06-18,Matchday 8,Group A,Mexico,South Korea,1.0,0.0,Guadalajara (Zapopan)
2026-06-24,Matchday 14,Group A,Czech Republic,Mexico,0.0,3.0,Mexico City
2026-06-24,Matchday 14,Group A,South Africa,South Korea,1.0,0.0,Monterrey (Guadalupe)
2026-06-12,Matchday 2,Group B,Canada,Bosnia & Herzegovina,1.0,1.0,Toronto
2026-06-13,Matchday 3,Group B,Qatar,Switzerland,1.0,1.0,San Francisco Bay Area (Santa Clara)
2026-06-18,Matchday 8,Group B,Switzerland,Bosnia & Herzegovina,4.0,1.0,Los Angeles (Inglewood)
2026-06-18,Matchday 8,Group B,Canada,Qatar,6.0,0.0,Vancouver
2026-06-24,Matchday 14,Group B,Switzerland,Canada,2.0,1.0,Vancouver
2026-06-24,Matchday 14,Group B,Bosnia & Herzegovina,Qatar,3.0,1.0,Seattle
2026-06-13,Matchday 3,Group C,Brazil,Morocco,1.0,1.0,New York/New Jersey (East Rutherford)
2026-06-13,Matchday 3,Group C,Haiti,Scotland,0.0,1.0,Boston (Foxborough)
2026-06-19,Matchday 9,Group C,Scotland,Morocco,0.0,1.0,Boston (Foxborough)
2026-06-19,Matchday 9,Group C,Brazil,Haiti,3.0,0.0,Philadelphia
2026-06-24,Matchday 14,Group C,Scotland,Brazil,0.0,3.0,Miami (Miami Gardens)
2026-06-24,Matchday 14,Group C,Morocco,Haiti,4.0,2.0,Atlanta
2026-06-12,Matchday 2,Group D,USA,Paraguay,4.0,1.0,Los Angeles (Inglewood)
2026-06-13,Matchday 3,Group D,Australia,Turkey,2.0,0.0,Vancouver
2026-06-19,Matchday 9,Group D,USA,Australia,2.0,0.0,Seattle
2026-06-19,Matchday 9,Group D,Turkey,Paraguay,0.0,1.0,San Francisco Bay Area (Santa Clara)
2026-06-25,Matchday 15,Group D,Turkey,USA,3.0,2.0,Los Angeles (Inglewood)
2026-06-25,Matchday 15,Group D,Paraguay,Australia,0.0,0.0,San Francisco Bay Area (Santa Clara)
2026-06-14,Matchday 4,Group E,Germany,Curaçao,7.0,1.0,Houston
2026-06-14,Matchday 4,Group E,Ivory Coast,Ecuador,1.0,0.0,Philadelphia
2026-06-20,Matchday 10,Group E,Germany,Ivory Coast,2.0,1.0,Toronto
2026-06-20,Matchday 10,Group E,Ecuador,Curaçao,0.0,0.0,Kansas City
2026-06-25,Matchday 15,Group E,Curaçao,Ivory Coast,0.0,2.0,Philadelphia
2026-06-25,Matchday 15,Group E,Ecuador,Germany,2.0,1.0,New York/New Jersey (East Rutherford)
2026-06-14,Matchday 4,Group F,Netherlands,Japan,2.0,2.0,Dallas (Arlington)
2026-06-14,Matchday 4,Group F,Sweden,Tunisia,5.0,1.0,Monterrey (Guadalupe)
2026-06-20,Matchday 10,Group F,Netherlands,Sweden,5.0,1.0,Houston
2026-06-20,Matchday 10,Group F,Tunisia,Japan,0.0,4.0,Monterrey (Guadalupe)
2026-06-25,Matchday 15,Group F,Japan,Sweden,1.0,1.0,Dallas (Arlington)
2026-06-25,Matchday 15,Group F,Tunisia,Netherlands,1.0,3.0,Kansas City
2026-06-15,Matchday 5,Group G,Belgium,Egypt,1.0,1.0,Seattle
2026-06-15,Matchday 5,Group G,Iran,New Zealand,2.0,2.0,Los Angeles (Inglewood)
2026-06-21,Matchday 11,Group G,Belgium,Iran,0.0,0.0,Los Angeles (Inglewood)
2026-06-21,Matchday 11,Group G,New Zealand,Egypt,1.0,3.0,Vancouver
2026-06-26,Matchday 16,Group G,Egypt,Iran,1.0,1.0,Seattle
2026-06-26,Matchday 16,Group G,New Zealand,Belgium,1.0,5.0,Vancouver
2026-06-15,Matchday 5,Group H,Spain,Cape Verde,0.0,0.0,Atlanta
